,Course Title,Instructor,Rating,No of students who gave rating,Hours to complete course,No of Lectures,Level,Image link,Course URL,Description,Discounted Price,Price,Category,Subcategory,Sub subcategory
0,iOS & Swift - The Complete iOS App Development Bootcamp,Dr. Angela Yu,4.8,"64,771",60.5 total hours,541 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/ios-13-app-development-bootcamp/,From Beginner to iOS App Developer with Just One Course! Fully Updated with a Comprehensive Module Dedicated to SwiftUI!,₹385,"₹8,640",Development,Mobile Development,Swift
1,The Complete Node.js Developer Course (3rd Edition),"Andrew Mead, Rob Percival",4.7,"59,552",35 total hours,177 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,"Learn Node.js by building real-world applications with Node JS, Express, MongoDB, Jest, and more!",₹385,"₹5,440",Development,Programming Languages,Node.Js
2,Build Responsive Real-World Websites with HTML and CSS,Jonas Schmedtmann,4.6,"57,709",49.5 total hours,226 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/,"Learn modern HTML5, CSS3 and web design by building a stunning website for your portfolio! Includes flexbox and CSS Grid",₹385,"₹8,640",Development,Web Development,CSS
3,The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,"Colt Steele, Ian Schoonover",4.6,"57,696",20.5 total hours,325 lectures,Beginner,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,Become an In-demand SQL Master by creating complex databases and building reports through real-world projects,₹385,"₹8,640",Development,Database Design & Development,MySQL
4,Spring & Hibernate for Beginners (includes Spring Boot),Chad Darby,4.6,"54,815",42.5 total hours,568 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/spring-hibernate-tutorial/,"Spring 5: Learn Spring 5 Core, AOP, Spring MVC, Spring Security, Spring REST, Spring Boot 2, Thymeleaf, JPA & Hibernate",₹385,"₹8,640",Development,Programming Languages,Spring Framework
5,Unreal Engine C++ Developer: Learn C++ and Make Video Games,"Ben Tristem, Sam Pattuzzi, GameDev.tv Team, Rob Brooks",4.6,"53,461",31.5 total hours,219 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/unrealcourse/,Created in collaboration with Epic Games. Learn C++ from basics while making your first 4 video games in Unreal,₹385,"₹8,640",Development,Game Development,Unreal Engine
6,The Python Mega Course: Build 10 Real World Applications,Ardit Sulce,4.6,"51,060",30.5 total hours,317 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-python-mega-course/,Go from zero to hero in Python in weeks! Learn Python the easy way by building real-life Python programs!,₹385,"₹8,640",Development,Programming Languages,Python
7,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,"Bret Fisher, Docker Captain Program",4.6,"49,661",19.5 total hours,177 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/docker-mastery/,"Build, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, Swarm and Registry using DevOps",₹385,"₹8,640",Development,Software Development Tools,Docker
8,The Complete Web Developer in 2021: Zero to Mastery,Andrei Neagoie,4.7,"48,793",37 total hours,377 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/the-complete-web-developer-zero-to-mastery/,"Learn to code and become a Web Developer in 2021 with HTML, CSS, Javascript, React, Node.js, Machine Learning & more!",₹385,"₹8,640",Development,Web Development,Null
9,"Vue - The Complete Guide (w/ Router, Vuex, Composition API)",Maximilian Schwarzmüller,4.7,"48,562",49 total hours,670 lectures,All Levels,"data:image/svg+xml,%3Csvg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 260 145""%3E%3C/svg%3E",https://www.udemy.com/course/vuejs-2-the-complete-guide/,Vue.js is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,₹385,"₹8,640",Development,Web Development,Vue JS
